"","X","Date","TC","TdC","Hr","TmaxC","TminC","ddd","ffkmh","P0hPa","PseahPa","Precmm","Nt","HKm","InsoD1","Viskm"
"91",91,"2021-01-20 12:00:00",29.5,-3,12,NA,NA,"NE",22.2,989.2,1014.3,"0.0/6h",3,2.5,NA,8
"90",90,"2021-01-20 15:00:00",31.5,-1,12,NA,NA,"ENE",22.2,986.3,1011.3,NA,3,2.5,NA,10
"89",89,"2021-01-20 18:00:00",30,-1.7,13,32,NA,"ENE",22.2,986.8,1012,"0.0/12h",3,2.5,NA,10
"88",88,"2021-01-20 21:00:00",25,1.2,21,NA,NA,"E",7.4,988.9,1014.1,NA,3,2.5,NA,10
"87",87,"2021-01-21 00:00:00",21.6,0.2,24,NA,NA,"NE",11.1,988.7,1013.8,"0.0/6h",3,2.5,NA,10
"86",86,"2021-01-21 03:00:00",19.4,-1.1,25,NA,NA,"E",11.1,987.7,1012.8,NA,3,2.5,NA,10
"85",85,"2021-01-21 06:00:00",20,-4.8,18,NA,18.6,"E",22.2,988.4,1013.5,"0.0/24h",5,2.5,10.4,6
"84",84,"2021-01-21 09:00:00",23.5,-2.3,18,NA,NA,"ENE",33.4,990,1015.3,NA,5,2.5,NA,3
"83",83,"2021-01-21 12:00:00",28.5,-0.8,15,NA,NA,"E",22.2,988.9,1014.1,"0.0/6h",5,2.5,NA,3
"82",82,"2021-01-21 15:00:00",30.2,-2,12,NA,NA,"NNE",18.5,986.8,1011.9,NA,5,2.5,NA,3
"81",81,"2021-01-21 18:00:00",28.4,-0.6,15,30.6,NA,"NNE",18.5,987.3,1012.5,"0.0/12h",5,2.5,NA,2.8
"80",80,"2021-01-21 21:00:00",24.5,-0.3,19,NA,NA,"N",14.8,989.3,1014.6,NA,5,2.5,NA,2.3
"79",79,"2021-01-22 00:00:00",22,1.7,26,NA,NA,"N",3.7,988.7,1013.8,"0.0/6h",5,2.5,NA,2.5
"78",78,"2021-01-22 03:00:00",19.5,-0.6,26,NA,NA,"CAL",0,988.1,1013.2,NA,5,2.5,NA,2.5
"77",77,"2021-01-22 06:00:00",18,0,30,NA,17.8,"E",7.4,988.7,1013,"0.0/24h",5,2.5,9.5,2.5
"76",76,"2021-01-22 09:00:00",23.4,-3.4,17,NA,NA,"ENE",37.1,990.8,1016.1,NA,5,2.5,NA,3.5
"75",75,"2021-01-22 12:00:00",28.6,-1.8,14,NA,NA,"ENE",25.9,988.9,1014,"0.0/6h",5,2.5,NA,3.2
"74",74,"2021-01-22 15:00:00",30.5,-0.9,13,NA,NA,"NE",18.5,986.3,1011.4,NA,5,2.5,NA,3.5
"73",73,"2021-01-22 18:00:00",28.8,-0.5,15,31,NA,"NE",18.5,986.5,1011.7,"0.0/12h",5,2.5,NA,3.5
"72",72,"2021-01-22 21:00:00",24,2,24,NA,NA,"N",11.1,988.6,1013.9,NA,5,2.5,NA,4
"71",71,"2021-01-23 00:00:00",21.2,0,24,NA,NA,"NNW",11.1,988.4,1013.6,"0.0/6h",5,2.5,NA,4.5
"70",70,"2021-01-23 03:00:00",19,0.2,28,NA,NA,"NNW",7.4,987.6,1012.7,NA,5,2.5,NA,4.5
"69",69,"2021-01-23 06:00:00",17,0.2,32,NA,16.6,"N",11.1,987.8,1013.1,"0.0/24h",5,2.5,9.6,6
"68",68,"2021-01-23 09:00:00",25,-3,15,NA,NA,"NE",18.5,989.6,1014.8,NA,5,2.5,NA,8
"67",67,"2021-01-23 12:00:00",30,-2.1,12,NA,NA,"ENE",18.5,987.7,1012.8,"0.0/6h",5,2.5,NA,8
"66",66,"2021-01-23 15:00:00",32,-3.8,10,NA,NA,"NE",14.8,985.3,1010.3,NA,5,2.5,NA,10
"65",65,"2021-01-23 18:00:00",30,-2.5,12,32.4,NA,"NE",14.8,986.1,1011.3,"0.0/12h",6,2.5,NA,10
"64",64,"2021-01-23 21:00:00",24.5,-1.3,18,NA,NA,"N",7.4,987.7,1012.9,NA,5,2.5,NA,10
"63",63,"2021-01-24 00:00:00",21,-1,23,NA,NA,"N",7.4,987.3,1012.4,"0.0/6h",5,2.5,NA,10
"62",62,"2021-01-24 03:00:00",19.4,-2.7,22,NA,NA,"N",7.4,985.8,1010.8,NA,5,2.5,NA,10
"61",61,"2021-01-24 06:00:00",17.5,-2.5,25,NA,17.5,"N",11.1,986.4,1011.6,"0.0/24h",5,2.5,10.3,10
"60",60,"2021-01-24 09:00:00",23.6,-4.2,15,NA,NA,"E",18.5,989,1014.3,NA,5,2.5,NA,10
"59",59,"2021-01-24 12:00:00",30,-3.1,11,NA,NA,"NE",18.5,987.2,1012.3,"0.0/6h",5,2.5,NA,10
"58",58,"2021-01-24 15:00:00",32.5,-4.1,9,NA,NA,"NE",25.9,984.1,1009.1,NA,5,2.5,NA,15
"57",57,"2021-01-24 18:00:00",30.5,-2.6,12,33,NA,"ENE",7.4,984.8,1009.9,"0.0/12h",5,2.5,NA,10
"56",56,"2021-01-24 21:00:00",25,-2.7,16,NA,NA,"CAL",0,987,1012.2,NA,5,2.5,NA,10
"55",55,"2021-01-25 00:00:00",21.4,-0.9,22,NA,NA,"CAL",0,987.2,1012.3,"0.0/6h",3,2.5,NA,10
"54",54,"2021-01-25 03:00:00",19.6,-4.8,19,NA,NA,"NE",14.8,986.2,1011.2,NA,3,2.5,NA,10
"53",53,"2021-01-25 06:00:00",17.4,-2.7,25,NA,17.2,"NE",11.1,986.9,1012.1,"0.0/24h",5,2.5,11,10
"52",52,"2021-01-25 09:00:00",24.5,-7,12,NA,NA,"E",22.2,988.7,1013.9,NA,5,2.5,NA,10
"51",51,"2021-01-25 12:00:00",31,-4.7,10,NA,NA,"E",25.9,987.1,1012.2,"0.0/6h",5,2.5,NA,10
"50",50,"2021-01-25 15:00:00",34,0,11,NA,NA,"NE",18.5,984.6,1009.5,NA,5,2.5,NA,10
"49",49,"2021-01-25 18:00:00",31.6,-0.2,13,34.5,NA,"NNE",11.1,985.2,1010.3,"0.0/12h",5,2.5,NA,10
"48",48,"2021-01-25 21:00:00",25,2.7,23,NA,NA,"CAL",0,987,1012.1,NA,5,2.5,NA,10
"47",47,"2021-01-26 00:00:00",23,-1.3,20,NA,NA,"CAL",0,987.1,1012.1,"0.0/6h",5,2.5,NA,10
"46",46,"2021-01-26 03:00:00",19.5,0.9,29,NA,NA,"CAL",0,986.2,1011.1,NA,5,2.5,NA,10
"45",45,"2021-01-26 09:00:00",25,-4.6,14,NA,NA,"ENE",25.9,988.9,1014.1,NA,5,2.5,NA,10
"44",44,"2021-01-26 12:00:00",32.2,-1,12,NA,NA,"ENE",22.2,987.1,1012,"0.0/6h",5,2.5,NA,10
